-1.676536,6.918556,-0.091816,-3.146765,-0.059461,-1.193914,-1.767682,5.461240,0.499440,-4.606401,-0.241574
-1.364563,7.826116,-0.007617,-3.991997,-0.032510,-1.084095,-2.200340,6.402861,0.550826,-5.438087,-0.178864
-1.714142,9.341353,0.397094,-4.879291,-0.002128,-0.879826,-3.252537,8.024674,0.528006,-6.308889,-0.117734
-2.960552,11.748883,1.125724,-5.640390,0.050306,-0.602798,-4.956425,10.646794,0.497068,-7.070442,-0.050852
-5.100363,15.238919,2.088727,-6.086339,0.129262,-0.346465,-7.149581,14.483600,0.537306,-7.533048,0.038139
-7.821588,19.772012,3.099564,-6.070941,0.232468,-0.197110,-9.460730,19.500439,0.708790,-7.524800,0.138664
-10.591755,25.075209,3.876411,-5.546602,0.354881,-0.173592,-11.398213,25.375968,1.064462,-6.961163,0.216254
-12.823592,30.703582,4.148966,-4.546302,0.482125,-0.225689,-12.560265,31.580144,1.623753,-5.872514,0.214201
-14.077994,36.116772,3.797518,-3.174269,0.579744,-0.253335,-12.806530,37.494785,2.337984,-4.393846,0.076744
-14.273398,40.792406,2.911095,-1.593791,0.605884,-0.134918,-12.347493,42.538105,3.105397,-2.724727,-0.197256
-13.688940,44.307601,1.756013,0.038471,0.537938,0.198321,-11.663651,46.255452,3.804818,-1.042220,-0.561465
-12.760492,46.328179,0.674817,1.629929,0.400547,0.772315,-11.303043,48.314236,4.335292,0.553259,-0.969325
-11.877260,46.664559,-0.061480,3.108588,0.261598,1.589631,-11.616538,48.533725,4.670873,2.004579,-1.337476
-11.267043,45.384076,-0.304612,4.401746,0.196848,2.581793,-12.632117,46.972401,4.859098,3.268660,-1.535903
-10.911496,42.800517,0.011993,5.449642,0.251562,3.579519,-14.036262,43.947806,4.953859,4.325411,-1.467394
-10.585782,39.365872,0.853737,6.198253,0.436034,4.428170,-15.293596,39.950367,4.984846,5.148653,-1.124809
-9.988279,35.574388,2.022767,6.603046,0.726064,5.054860,-15.830796,35.545894,4.977791,5.683848,-0.583860
-8.878840,31.855717,3.222581,6.679439,1.058946,5.451869,-15.288301,31.266440,4.934150,5.881382,0.001703
-7.217328,28.462899,4.171068,6.489308,1.333935,5.646111,-13.679522,27.486944,4.809075,5.719849,0.465769
-5.240163,25.454467,4.678214,6.101802,1.450006,5.655599,-11.391464,24.367744,4.535377,5.217349,0.720706
-3.349802,22.731724,4.692930,5.598339,1.354651,5.422841,-9.021889,21.850465,4.062668,4.471927,0.760141
-1.935529,20.025771,4.276962,5.078452,1.076755,4.905483,-7.204575,19.624098,3.376170,3.658215,0.610286
-1.236499,16.937690,3.508462,4.602556,0.713582,4.175055,-6.381601,17.196556,2.500884,2.941157,0.350742
-1.261509,13.132057,2.483104,4.175292,0.377154,3.352124,-6.648187,14.130031,1.470779,2.404416,0.098996
