-5.421700,63.683417,-1.102480,6.566508,0.202553,2.117387,46.988011,0.428939,3.912095,0.045048
-6.676013,63.284316,-0.157888,6.109823,0.315895,0.082377,47.284048,0.342346,3.566530,0.107541
-7.932458,62.418989,0.430084,5.698519,0.384496,-2.519994,47.057882,0.235485,3.343942,0.180953
-9.094644,61.330981,0.660070,5.291004,0.378660,-5.279794,46.276134,0.149995,3.184162,0.231881
-10.097597,60.093390,0.622611,4.822562,0.296301,-7.730317,44.818832,0.091505,3.006510,0.211318
-10.901117,58.656258,0.479938,4.237521,0.175577,-9.461517,42.601711,0.055400,2.735658,0.097308
-11.440367,56.840889,0.387770,3.510525,0.082597,-10.180992,39.637290,0.021653,2.315695,-0.090435
-11.604252,54.452722,0.413523,2.651829,0.070470,-9.835896,36.003133,-0.013076,1.713408,-0.303215
-11.275140,51.450087,0.504687,1.690682,0.159283,-8.689532,31.876809,-0.027994,0.942033,-0.465086
-10.334961,47.994307,0.551550,0.693395,0.347034,-7.175203,27.560249,-0.008873,0.093723,-0.488349
-8.675273,44.409147,0.490317,-0.215529,0.621515,-5.624304,23.299661,0.029299,-0.675640,-0.302750
-6.275615,41.112725,0.354927,-0.885591,0.959619,-4.151743,19.171754,0.070617,-1.223407,0.128493
-3.286794,38.399738,0.237089,-1.224390,1.320052,-2.694461,15.153444,0.110353,-1.506223,0.774857
-0.003616,36.205616,0.230029,-1.253607,1.640723,-1.144204,11.063146,0.154617,-1.622027,1.499456
3.194202,34.124655,0.390932,-1.119843,1.870910,0.494424,6.539610,0.208334,-1.763800,2.113617
5.894725,31.652858,0.722159,-1.046513,2.000256,2.030637,1.367947,0.271499,-2.135354,2.475594
7.742634,28.324759,1.166062,-1.284946,2.042878,3.160226,-4.353945,0.340517,-2.927087,2.527363
8.524101,23.840536,1.603474,-2.072113,1.993977,3.534584,-10.253885,0.411482,-4.311443,2.286495
8.191818,18.267056,1.878674,-3.564632,1.827363,2.887830,-15.583657,0.456586,-6.349468,1.837760
6.897469,12.082399,1.871060,-5.724142,1.518969,1.222607,-19.363093,0.428811,-8.881353,1.289166
4.984419,6.040447,1.561064,-8.260810,1.079193,-1.098795,-20.880693,0.283644,-11.525739,0.736272
2.868840,0.983824,1.031017,-10.688312,0.571219,-3.485459,-19.927930,0.015150,-13.776107,0.269876
0.873684,-2.430067,0.422225,-12.492119,0.082035,-5.366778,-16.738374,-0.322536,-15.168722,-0.041141
-0.833888,-3.996143,-0.115966,-13.308350,-0.335848,-6.454290,-12.086636,-0.636810,-15.455057,-0.197629
-2.240183,-3.884618,-0.476849,-13.035274,-0.653472,-6.832456,-7.120592,-0.861463,-14.659389,-0.246335
-3.461444,-2.319147,-0.626172,-11.820023,-0.830758,-6.827591,-2.666823,-0.975723,-13.017799,-0.228833
-4.650058,0.603430,-0.589558,-9.992574,-0.833493,-6.764619,1.159742,-0.992011,-10.911551,-0.175564
-5.857732,4.940221,-0.432914,-7.976281,-0.674021,-6.806238,4.847423,-0.934486,-8.785731,-0.109654
-7.004197,10.920061,-0.244716,-6.193643,-0.406123,-6.889287,9.398684,-0.816110,-7.040275,-0.043438
-7.921285,18.808239,-0.098396,-4.946744,-0.101385,-6.792458,15.984979,-0.615378,-5.941146,0.000344
-8.421589,28.781234,-0.025343,-4.335255,0.185079,-6.281921,25.410517,-0.287573,-5.580806,-0.009363
-8.379785,40.777616,-0.023001,-4.239484,0.445381,-5.242724,37.831424,0.225147,-5.850725,-0.074055
-7.811436,54.236581,-0.073106,-4.416564,0.699161,-3.711342,52.637869,0.966319,-6.496478,-0.160541
-6.834408,67.939185,-0.144013,-4.612662,0.939633,-1.852360,68.284791,1.908531,-7.216238,-0.231667
-5.593209,80.285593,-0.189964,-4.631953,1.140968,0.121726,82.531385,2.920677,-7.732653,-0.256453
-4.223350,89.763147,-0.160125,-4.341115,1.298871,2.033058,93.172904,3.802003,-7.821831,-0.213879
-2.789752,95.350822,-0.015432,-3.652403,1.432094,3.826196,98.680047,4.329493,-7.323908,-0.105787
-1.191149,96.725192,0.269189,-2.494401,1.562451,5.583378,98.468760,4.338111,-6.124418,0.050784
0.764501,94.208858,0.702022,-0.860395,1.708091,7.448521,93.002128,3.814433,-4.208295,0.232338
3.172039,88.541288,1.272875,1.135701,1.873415,9.472008,83.584536,2.904182,-1.736030,0.405242
5.890029,80.763940,1.945706,3.272710,2.040777,11.516430,72.067867,1.857904,0.965556,0.531634
